returns(rp=0.005000,variance(rp=0.005000,returns(rp=0.010000,variance(rp=0.010000,returns(rp=0.015000,variance(rp=0.015000,returns(rp=0.020000,variance(rp=0.020000,returns(rp=0.025000,variance(rp=0.025000,returns(rp=0.030000,variance(rp=0.030000,returns(rp=0.035000,variance(rp=0.035000,returns(rp=0.040000,variance(rp=0.040000,returns(rp=0.045000,variance(rp=0.045000,returns(rp=0.050000,variance(rp=0.050000,returns(rp=0.055000,variance(rp=0.055000,returns(rp=0.060000,variance(rp=0.060000,returns(rp=0.065000,variance(rp=0.065000,returns(rp=0.070000,variance(rp=0.070000,returns(rp=0.075000,variance(rp=0.075000,returns(rp=0.080000,variance(rp=0.080000,returns(rp=0.085000,variance(rp=0.085000,returns(rp=0.090000,variance(rp=0.090000,returns(rp=0.095000,variance(rp=0.095000,returns(rp=0.100000,variance(rp=0.100000
0.00920667,0.000165098,0.00909613,0.000139697,0.00898559,0.000530839,0.00887505,0.00133852,0.00876452,0.00256275,0.00865398,0.00420352,0.00854344,0.00626083,0.0084329,0.00873469,0.00832237,0.0116251,0.00821183,0.014932,0.00810129,0.0186555,0.00799075,0.0227955,0.00788021,0.0273521,0.00776968,0.0323252,0.00765914,0.0377149,0.0075486,0.0435211,0.00743806,0.0497438,0.00732753,0.0563831,0.00721699,0.0634389,0.00710645,0.0709113,
-0.0108719,0.00143588,-0.01939,0.00322042,-0.027908,0.00594637,-0.036426,0.00961376,-0.0449441,0.0142226,-0.0534621,0.0197728,-0.0619802,0.0262644,-0.0704982,0.0336975,-0.0790162,0.042072,-0.0875343,0.0513879,-0.0960523,0.0616453,-0.10457,0.0728441,-0.113088,0.0849843,-0.121606,0.0980659,-0.130124,0.112089,-0.138642,0.127053,-0.147161,0.142959,-0.155679,0.159807,-0.164197,0.177595,-0.172715,0.196326,
0.00228734,0.000264395,0.0110619,0.000400783,0.0198365,0.000508451,0.0286111,0.000587398,0.0373857,0.000637626,0.0461602,0.000659134,0.0549348,0.000651922,0.0637094,0.000615991,0.072484,0.000551339,0.0812586,0.000457967,0.0900331,0.000335876,0.0988077,0.000185064,0.107582,5.53276e-06,0.116357,-0.000202719,0.125131,-0.00043969,0.133906,-0.000705381,0.142681,-0.000999792,0.151455,-0.00132292,0.16023,-0.00167477,0.169004,-0.00205534,
0.00249352,4.52707e-05,0.00782493,0.000121712,0.0131563,0.000291794,0.0184878,0.000555516,0.0238192,0.000912877,0.0291506,0.00136388,0.034482,0.00190852,0.0398134,0.0025468,0.0451448,0.00327872,0.0504762,0.00410429,0.0558076,0.00502349,0.061139,0.00603633,0.0664705,0.00714281,0.0718019,0.00834293,0.0771333,0.0096367,0.0824647,0.0110241,0.0877961,0.0125051,0.0931275,0.0140798,0.0984589,0.0157481,0.10379,0.0175101,
0.00816004,-0.000209068,0.0134719,-0.000244332,0.0187837,-0.000320884,0.0240956,-0.000438724,0.0294074,-0.000597851,0.0347192,-0.000798265,0.0400311,-0.00103997,0.0453429,-0.00132296,0.0506548,-0.00164723,0.0559666,-0.0020128,0.0612784,-0.00241965,0.0665903,-0.00286779,0.0719021,-0.00335722,0.077214,-0.00388793,0.0825258,-0.00445993,0.0878376,-0.00507322,0.0931495,-0.0057278,0.0984613,-0.00642367,0.103773,-0.00716082,0.109085,-0.00793926,
-0.0017718,0.00016751,-0.00609371,0.000220734,-0.0104156,0.000304033,-0.0147375,0.000417407,-0.0190594,0.000560857,-0.0233814,0.000734382,-0.0277033,0.000937983,-0.0320252,0.00117166,-0.0363471,0.00143541,-0.040669,0.00172924,-0.0449909,0.00205314,-0.0493128,0.00240712,-0.0536347,0.00279117,-0.0579567,0.0032053,-0.0622786,0.00364951,-0.0666005,0.00412379,-0.0709224,0.00462814,-0.0752443,0.00516257,-0.0795662,0.00572708,-0.0838881,0.00632166,
-0.00738188,0.000406867,-0.00595001,0.000569314,-0.00451813,0.000858509,-0.00308626,0.00127445,-0.00165438,0.00181714,-0.000222505,0.00248658,0.00120937,0.00328277,0.00264125,0.0042057,0.00407312,0.00525538,0.005505,0.00643181,0.00693687,0.00773499,0.00836875,0.00916491,0.00980062,0.0107216,0.0112325,0.012405,0.0126644,0.0142152,0.0140962,0.0161521,0.0155281,0.0182158,0.01696,0.0204062,0.0183919,0.0227233,0.0198237,0.0251672,
0.0139501,0.0012506,0.0179586,0.00235319,0.021967,0.0038804,0.0259755,0.00583224,0.029984,0.00820872,0.0339924,0.0110098,0.0380009,0.0142356,0.0420094,0.0178859,0.0460178,0.0219609,0.0500263,0.0264606,0.0540348,0.0313848,0.0580432,0.0367337,0.0620517,0.0425072,0.0660602,0.0487054,0.0700686,0.0553282,0.0740771,0.0623756,0.0780856,0.0698476,0.082094,0.0777443,0.0861025,0.0860656,0.090111,0.0948116,
-0.0123498,0.000146368,-0.0154834,0.0002715,-0.0186169,0.000462434,-0.0217505,0.000719172,-0.024884,0.00104171,-0.0280175,0.00143006,-0.0311511,0.0018842,-0.0342846,0.00240415,-0.0374182,0.0029899,-0.0405517,0.00364146,-0.0436853,0.00435881,-0.0468188,0.00514197,-0.0499523,0.00599094,-0.0530859,0.0069057,-0.0562194,0.00788627,-0.059353,0.00893264,-0.0624865,0.0100448,-0.06562,0.0112228,-0.0687536,0.0124666,-0.0718871,0.0137762,
0.00783154,0.000324362,0.0080338,0.000356948,0.00823606,0.000475149,0.00843832,0.000678966,0.00864058,0.000968399,0.00884283,0.00134345,0.00904509,0.00180411,0.00924735,0.00235039,0.00944961,0.00298229,0.00965187,0.0036998,0.00985413,0.00450292,0.0100564,0.00539167,0.0102586,0.00636602,0.0104609,0.007426,0.0106632,0.00857159,0.0108654,0.00980279,0.0110677,0.0111196,0.0112699,0.012522,0.0114722,0.0140101,0.0116745,0.0155838,
0.00786489,-0.000182072,0.012428,-0.000539003,0.0169911,-0.00105027,0.0215542,-0.00171587,0.0261173,-0.0025358,0.0306804,-0.00351007,0.0352435,-0.00463867,0.0398066,-0.00592161,0.0443697,-0.00735889,0.0489328,-0.00895049,0.0534959,-0.0106964,0.058059,-0.0125967,0.0626221,-0.0146513,0.0671852,-0.0168603,0.0717483,-0.0192236,0.0763114,-0.0217412,0.0808745,-0.0244131,0.0854376,-0.0272394,0.0900007,-0.03022,0.0945638,-0.033355,
0.0139715,0.000710184,0.0235137,0.00129216,0.0330558,0.00207635,0.042598,0.00306276,0.0521401,0.00425137,0.0616822,0.0056422,0.0712244,0.00723524,0.0807665,0.00903049,0.0903087,0.011028,0.0998508,0.0132276,0.109393,0.0156295,0.118935,0.0182336,0.128477,0.0210399,0.138019,0.0240485,0.147562,0.0272592,0.157104,0.0306722,0.166646,0.0342873,0.176188,0.0381047,0.18573,0.0421243,0.195272,0.0463461,
0.000712949,0.000523825,0.00239111,0.000713671,0.00406927,0.000880924,0.00574743,0.00102558,0.00742559,0.00114765,0.00910375,0.00124713,0.0107819,0.00132401,0.0124601,0.0013783,0.0141382,0.00140999,0.0158164,0.00141909,0.0174946,0.0014056,0.0191727,0.00136952,0.0208509,0.00131084,0.022529,0.00122957,0.0242072,0.00112571,0.0258854,0.000999257,0.0275635,0.000850209,0.0292417,0.000678567,0.0309198,0.000484333,0.032598,0.000267506,
0.00633126,0.000129906,0.00469084,0.000271059,0.00305042,0.00050031,0.00141,0.000817658,-0.000230422,0.0012231,-0.00187084,0.00171665,-0.00351126,0.00229829,-0.00515168,0.00296802,-0.0067921,0.00372586,-0.00843253,0.00457179,-0.0100729,0.00550582,-0.0117134,0.00652795,-0.0133538,0.00763817,-0.0149942,0.00883649,-0.0166346,0.0101229,-0.0182751,0.0114974,-0.0199155,0.01296,-0.0215559,0.0145108,-0.0231963,0.0161496,-0.0248367,0.0178765,
0.0037174,0.000107739,0.00770842,0.000264159,0.0116994,0.000553347,0.0156904,0.000975304,0.0196815,0.00153003,0.0236725,0.00221752,0.0276635,0.00303779,0.0316545,0.00399082,0.0356455,0.00507662,0.0396365,0.00629518,0.0436276,0.00764652,0.0476186,0.00913062,0.0516096,0.0107475,0.0556006,0.0124971,0.0595916,0.0143795,0.0635826,0.0163947,0.0675736,0.0185427,0.0715647,0.0208234,0.0755557,0.0232369,0.0795467,0.0257831,
